Name Math Java DS Average Total
张三365 79 91 54 0 0
张三320 24 49 15 0 0
张三979 60 3 22 0 0
张三452 41 47 42 0 0
张三14 14 53 79 0 0
张三942 41 32 56 0 0
张三966 29 79 15 0 0
张三675 93 65 16 0 0
张三119 85 80 12 0 0
张三118 4 52 52 0 0
张三282 5 76 68 0 0
张三568 32 63 63 0 0
张三262 3 90 62 0 0
张三627 84 46 18 0 0
张三135 90 17 40 0 0
张三75 98 19 44 0 0
张三578 29 64 1 0 0
张三553 16 28 2 0 0
张三812 79 55 32 0 0
张三709 66 100 10 0 0
张三933 38 61 26 0 0
张三725 23 29 57 0 0
张三669 88 3 67 0 0
张三377 28 86 5 0 0
张三852 11 0 81 0 0
张三45 61 23 95 0 0
张三130 11 99 74 0 0
张三331 20 21 81 0 0
张三713 82 90 13 0 0
张三192 42 7 75 0 0
张三188 77 1 22 0 0
张三750 59 28 73 0 0
张三681 5 25 96 0 0
张三198 93 70 82 0 0
张三909 39 7 48 0 0
张三443 24 44 89 0 0
张三903 96 28 68 0 0
张三415 84 1 29 0 0
张三439 66 25 27 0 0
张三192 56 23 47 0 0
张三460 69 65 62 0 0
张三352 97 7 55 0 0
张三22 64 45 50 0 0
张三216 97 63 37 0 0
张三563 61 91 31 0 0
张三892 55 57 52 0 0
张三508 97 77 42 0 0
张三269 34 96 31 0 0
张三515 65 85 74 0 0
张三393 2 28 78 0 0
张三882 42 88 78 0 0
张三861 11 1 8 0 0
张三915 19 8 59 0 0
张三161 43 3 3 0 0
张三280 43 0 48 0 0
张三112 27 87 41 0 0
张三626 29 51 38 0 0
张三807 20 46 47 0 0
张三24 98 97 20 0 0
张三737 93 88 84 0 0
张三990 43 4 70 0 0
张三981 68 35 41 0 0
张三150 38 73 47 0 0
张三654 99 38 30 0 0
张三802 46 22 27 0 0
张三986 96 88 82 0 0
张三945 59 13 73 0 0
张三727 25 58 79 0 0
张三531 27 3 14 0 0
张三765 48 21 19 0 0
张三988 23 10 88 0 0
张三130 66 10 50 0 0
张三304 53 69 67 0 0
张三781 96 19 28 0 0
张三192 23 91 77 0 0
张三852 97 79 21 0 0
张三137 13 56 69 0 0
张三257 3 34 14 0 0
张三351 21 6 18 0 0
张三816 55 14 22 0 0
张三922 78 10 42 0 0
张三312 22 86 4 0 0
张三695 40 27 80 0 0
张三141 66 100 34 0 0
张三669 26 94 61 0 0
张三465 73 6 73 0 0
张三942 38 91 61 0 0
张三23 78 82 51 0 0
张三497 88 86 32 0 0
张三21 41 80 53 0 0
张三357 28 54 32 0 0
张三749 49 29 56 0 0
张三891 49 9 9 0 0
张三840 65 18 82 0 0
张三321 89 13 19 0 0
张三340 36 49 48 0 0
张三697 78 43 65 0 0
张三978 44 42 32 0 0
张三890 11 21 93 0 0
张三323 40 34 87 0 0
张三380 13 60 97 0 0
张三711 27 99 73 0 0
张三873 46 60 97 0 0
张三129 51 72 90 0 0
张三39 73 56 0 0 0
张三438 32 76 24 0 0
张三902 81 28 75 0 0
张三624 50 70 49 0 0
张三666 20 98 66 0 0
张三960 42 61 39 0 0
张三15 17 79 54 0 0
张三265 12 63 96 0 0
张三168 60 66 43 0 0
张三644 28 93 74 0 0
张三234 83 67 7 0 0
张三391 68 24 84 0 0
张三637 83 19 38 0 0
张三956 54 57 91 0 0
张三657 40 49 85 0 0
张三133 60 57 32 0 0
张三376 44 48 70 0 0
张三884 6 82 48 0 0
张三546 31 97 22 0 0
张三463 60 100 70 0 0
张三184 95 51 61 0 0
